ID,Nome,CNPJ,Status,País,Site,Tipo
1,Ágora CTVM,74.014.747/0001-35,Ativa — B3 PQO,Brasil,https://www.agorainvest.com.br/,CTVM
2,Ativa Investimentos,33.775.974/0001-04,Ativa — B3 PQO,Brasil,https://www.ativainvestimentos.com.br/,CTCV
3,Avenue,61.384.004/0001-05,Ativa — DTVM Brasil + serviços de corretagem nos EUA,Brasil / EUA,https://avenue.us/,DTVM brasileira / corretora internacional
4,Banrisul Corretora,93.026.847/0001-26,Ativa — B3 PQO,Brasil,https://www.banrisulcorretora.com.br/,CVMC
5,BB Investimentos,24.933.830/0001-30,Ativa — B3 PQO,Brasil,https://www.bb.com.br/,Banco de Investimento
6,BGC Liquidez,33.862.244/0001-32,Ativa — B3 PQO,Brasil,https://www.bgcliquidez.com.br/,DTVM
7,Bradesco S/A CTVM,61.855.045/0001-32,Ativa — B3 PQO,Brasil,https://banco.bradesco/,CTVM
8,BTG Pactual,43.815.158/0001-22,Ativa — B3 PQO,Brasil,https://www.btgpactual.com/,CTVM
9,C6 Corretora,32.345.784/0001-86,Ativa — B3 PQO,Brasil,https://www.c6bank.com.br/,CTVM
10,Charles Schwab,Não se aplica,Ativa — broker-dealer nos EUA,Estados Unidos,https://www.schwab.com/,Corretora estrangeira (broker-dealer)
11,Citigroup Global Markets Brasil,33.709.114/0001-64,Ativa — B3 PQO,Brasil,https://www.citigroup.com/,CCTVM
12,Clear Corretora,02.332.886/0011-78,Ativa — marca operada pela XP Investimentos,Brasil,https://corretora.clear.com.br/,Marca / CTVM XP
13,CM Capital Markets,02.685.483/0001-30,Ativa — B3 PQO,Brasil,https://cmcapital.com.br/,CCTVM
14,Codepe Corretora,09.512.542/0001-18,Consta em cadastro CVM — fora da lista PQO atual,Brasil,Não localizado,Corretora de Valores e Câmbio
15,Coinvalores,00.336.036/0001-40,Consta em cadastro CVM — fora da lista PQO atual,Brasil,https://www.coinvalores.com.br/,CCVM
16,Credit Suisse Brasil,42.584.318/0001-07,Baixada — incorporação em 26/01/2026,Brasil,https://www.ubs.com/br/pt.html,CTVM (legado UBS)
